,Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Periodo,Total,Año,Mes,Nom_mes
34271,Total Nacional,05 Canarias,,Viajero,2013M05,585.914,2013,5,Mayo
34272,Total Nacional,05 Canarias,,Viajero,2013M04,580.869,2013,4,Abril
34273,Total Nacional,05 Canarias,,Viajero,2013M03,720.138,2013,3,Marzo
34274,Total Nacional,05 Canarias,,Viajero,2013M02,606.669,2013,2,Febrero
34275,Total Nacional,05 Canarias,,Viajero,2013M01,593.307,2013,1,Enero
36024,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2025M04,551.052,2025,4,Abril
36025,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2025M03,575.087,2025,3,Marzo
36026,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2025M02,542.537,2025,2,Febrero
36027,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2025M01,529.292,2025,1,Enero
36028,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M12,531.095,2024,12,Diciembre
36029,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M11,541.152,2024,11,Noviembre
36030,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M10,585.096,2024,10,Octubre
36031,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M09,520.085,2024,9,Septiembre
36032,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M08,591.062,2024,8,Agosto
36033,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M07,559.680,2024,7,Julio
36034,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M06,524.766,2024,6,Junio
36035,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M05,505.514,2024,5,Mayo
36036,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M04,531.782,2024,4,Abril
36037,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M03,586.433,2024,3,Marzo
36038,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M02,537.139,2024,2,Febrero
36039,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2024M01,514.611,2024,1,Enero
36040,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M12,521.810,2023,12,Diciembre
36041,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M11,507.617,2023,11,Noviembre
36042,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M10,576.118,2023,10,Octubre
36043,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M09,512.563,2023,9,Septiembre
36044,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M08,581.149,2023,8,Agosto
36045,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M07,574.819,2023,7,Julio
36046,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M06,505.164,2023,6,Junio
36047,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M05,479.392,2023,5,Mayo
36048,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M04,540.256,2023,4,Abril
36049,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M03,528.575,2023,3,Marzo
36050,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M02,487.977,2023,2,Febrero
36051,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2023M01,467.161,2023,1,Enero
36052,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M12,508.217,2022,12,Diciembre
36053,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M11,468.960,2022,11,Noviembre
36054,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M10,545.737,2022,10,Octubre
36055,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M09,483.480,2022,9,Septiembre
36056,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M08,578.091,2022,8,Agosto
36057,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M07,552.054,2022,7,Julio
36058,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M06,479.762,2022,6,Junio
36059,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M05,457.335,2022,5,Mayo
36060,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M04,500.068,2022,4,Abril
36061,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M03,463.276,2022,3,Marzo
36062,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M02,403.249,2022,2,Febrero
36063,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2022M01,308.562,2022,1,Enero
36064,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M12,383.443,2021,12,Diciembre
36065,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M11,423.738,2021,11,Noviembre
36066,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M10,496.682,2021,10,Octubre
36067,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M09,368.389,2021,9,Septiembre
36068,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M08,424.333,2021,8,Agosto
36069,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M07,316.950,2021,7,Julio
36070,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M06,184.869,2021,6,Junio
36071,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M05,118.486,2021,5,Mayo
36072,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M04,83.745,2021,4,Abril
36073,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M03,70.156,2021,3,Marzo
36074,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M02,47.678,2021,2,Febrero
36075,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2021M01,51.311,2021,1,Enero
36076,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M12,102.739,2020,12,Diciembre
36077,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M11,82.072,2020,11,Noviembre
36078,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M10,105.897,2020,10,Octubre
36079,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M09,112.478,2020,9,Septiembre
36080,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M08,225.397,2020,8,Agosto
36081,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M07,133.792,2020,7,Julio
36082,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M06,6.922,2020,6,Junio
36083,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M05,833,2020,5,Mayo
36084,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M04,0,2020,4,Abril
36085,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M03,207.441,2020,3,Marzo
36086,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M02,483.403,2020,2,Febrero
36087,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2020M01,424.357,2020,1,Enero
36088,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M12,443.568,2019,12,Diciembre
36089,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M11,439.876,2019,11,Noviembre
36090,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M10,489.745,2019,10,Octubre
36091,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M09,448.686,2019,9,Septiembre
36092,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M08,529.949,2019,8,Agosto
36093,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M07,516.601,2019,7,Julio
36094,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M06,471.815,2019,6,Junio
36095,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M05,441.267,2019,5,Mayo
36096,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M04,485.543,2019,4,Abril
36097,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M03,491.334,2019,3,Marzo
36098,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M02,433.091,2019,2,Febrero
36099,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2019M01,433.212,2019,1,Enero
36100,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M12,448.392,2018,12,Diciembre
36101,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M11,440.976,2018,11,Noviembre
36102,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M10,531.602,2018,10,Octubre
36103,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M09,478.972,2018,9,Septiembre
36104,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M08,545.208,2018,8,Agosto
36105,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M07,532.338,2018,7,Julio
36106,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M06,475.132,2018,6,Junio
36107,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M05,442.854,2018,5,Mayo
36108,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M04,473.972,2018,4,Abril
36109,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M03,522.848,2018,3,Marzo
36110,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M02,458.674,2018,2,Febrero
36111,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2018M01,447.974,2018,1,Enero
36112,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M12,467.987,2017,12,Diciembre
36113,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M11,461.541,2017,11,Noviembre
36114,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M10,545.955,2017,10,Octubre
36115,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M09,509.480,2017,9,Septiembre
36116,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M08,555.912,2017,8,Agosto
36117,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M07,558.504,2017,7,Julio
36118,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M06,473.305,2017,6,Junio
36119,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M05,449.192,2017,5,Mayo
36120,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M04,529.942,2017,4,Abril
36121,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M03,488.576,2017,3,Marzo
36122,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M02,446.546,2017,2,Febrero
36123,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2017M01,441.504,2017,1,Enero
36124,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M12,449.101,2016,12,Diciembre
36125,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M11,437.049,2016,11,Noviembre
36126,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M10,514.586,2016,10,Octubre
36127,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M09,437.038,2016,9,Septiembre
36128,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M08,524.185,2016,8,Agosto
36129,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M07,519.805,2016,7,Julio
36130,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M06,450.677,2016,6,Junio
36131,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M05,435.790,2016,5,Mayo
36132,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M04,458.407,2016,4,Abril
36133,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M03,478.170,2016,3,Marzo
36134,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M02,436.386,2016,2,Febrero
36135,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2016M01,428.990,2016,1,Enero
36136,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M12,420.670,2015,12,Diciembre
36137,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M11,427.836,2015,11,Noviembre
36138,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M10,469.191,2015,10,Octubre
36139,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M09,422.612,2015,9,Septiembre
36140,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M08,493.170,2015,8,Agosto
36141,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M07,472.779,2015,7,Julio
36142,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M06,401.910,2015,6,Junio
36143,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M05,402.176,2015,5,Mayo
36144,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M04,408.485,2015,4,Abril
36145,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M03,424.877,2015,3,Marzo
36146,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M02,382.791,2015,2,Febrero
36147,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2015M01,386.431,2015,1,Enero
36148,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M12,378.473,2014,12,Diciembre
36149,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M11,409.011,2014,11,Noviembre
36150,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M10,439.640,2014,10,Octubre
36151,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M09,405.322,2014,9,Septiembre
36152,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M08,491.954,2014,8,Agosto
36153,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M07,462.797,2014,7,Julio
36154,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M06,393.357,2014,6,Junio
36155,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M05,362.916,2014,5,Mayo
36156,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M04,402.559,2014,4,Abril
36157,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M03,453.877,2014,3,Marzo
36158,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M02,376.874,2014,2,Febrero
36159,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2014M01,372.794,2014,1,Enero
36160,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M12,372.131,2013,12,Diciembre
36161,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M11,399.194,2013,11,Noviembre
36162,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M10,411.694,2013,10,Octubre
36163,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M09,387.417,2013,9,Septiembre
36164,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M08,434.396,2013,8,Agosto
36165,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M07,424.897,2013,7,Julio
36166,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M06,364.208,2013,6,Junio
36167,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M05,325.689,2013,5,Mayo
36168,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M04,318.766,2013,4,Abril
36169,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M03,403.671,2013,3,Marzo
36170,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M02,336.199,2013,2,Febrero
36171,Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,2013M01,325.551,2013,1,Enero
37920,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2025M04,384.117,2025,4,Abril
37921,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2025M03,387.552,2025,3,Marzo
37922,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2025M02,381.673,2025,2,Febrero
37923,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2025M01,376.552,2025,1,Enero
37924,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M12,376.741,2024,12,Diciembre
37925,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M11,382.924,2024,11,Noviembre
37926,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M10,398.609,2024,10,Octubre
37927,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M09,368.835,2024,9,Septiembre
37928,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M08,414.003,2024,8,Agosto
37929,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M07,399.969,2024,7,Julio
37930,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M06,376.396,2024,6,Junio
37931,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M05,363.121,2024,5,Mayo
37932,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M04,364.557,2024,4,Abril
37933,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M03,403.016,2024,3,Marzo
37934,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M02,363.687,2024,2,Febrero
37935,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2024M01,364.430,2024,1,Enero
37936,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M12,366.772,2023,12,Diciembre
37937,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M11,362.324,2023,11,Noviembre
37938,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M10,396.616,2023,10,Octubre
37939,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M09,360.984,2023,9,Septiembre
37940,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M08,392.691,2023,8,Agosto
37941,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M07,399.149,2023,7,Julio
37942,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M06,359.506,2023,6,Junio
37943,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M05,345.731,2023,5,Mayo
37944,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M04,378.241,2023,4,Abril
37945,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M03,368.509,2023,3,Marzo
37946,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M02,339.779,2023,2,Febrero
37947,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2023M01,338.368,2023,1,Enero
37948,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M12,380.286,2022,12,Diciembre
37949,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M11,348.361,2022,11,Noviembre
37950,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M10,378.060,2022,10,Octubre
37951,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M09,347.990,2022,9,Septiembre
37952,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M08,398.307,2022,8,Agosto
37953,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M07,388.422,2022,7,Julio
37954,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M06,345.410,2022,6,Junio
37955,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M05,332.251,2022,5,Mayo
37956,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M04,357.790,2022,4,Abril
37957,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M03,333.559,2022,3,Marzo
37958,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M02,300.838,2022,2,Febrero
37959,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2022M01,233.127,2022,1,Enero
37960,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M12,277.182,2021,12,Diciembre
37961,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M11,298.234,2021,11,Noviembre
37962,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M10,331.192,2021,10,Octubre
37963,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M09,260.379,2021,9,Septiembre
37964,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M08,287.647,2021,8,Agosto
37965,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M07,208.923,2021,7,Julio
37966,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M06,121.838,2021,6,Junio
37967,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M05,93.892,2021,5,Mayo
37968,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M04,71.003,2021,4,Abril
37969,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M03,63.864,2021,3,Marzo
37970,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M02,48.902,2021,2,Febrero
37971,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2021M01,37.452,2021,1,Enero
37972,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M12,69.151,2020,12,Diciembre
37973,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M11,61.041,2020,11,Noviembre
37974,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M10,80.267,2020,10,Octubre
37975,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M09,99.737,2020,9,Septiembre
37976,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M08,136.244,2020,8,Agosto
37977,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M07,67.561,2020,7,Julio
37978,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M06,5.434,2020,6,Junio
37979,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M05,414,2020,5,Mayo
37980,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M04,0,2020,4,Abril
37981,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M03,135.086,2020,3,Marzo
37982,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M02,337.294,2020,2,Febrero
37983,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2020M01,321.313,2020,1,Enero
37984,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M12,335.006,2019,12,Diciembre
37985,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M11,339.753,2019,11,Noviembre
37986,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M10,365.819,2019,10,Octubre
37987,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M09,339.960,2019,9,Septiembre
37988,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M08,393.172,2019,8,Agosto
37989,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M07,371.749,2019,7,Julio
37990,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M06,340.912,2019,6,Junio
37991,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M05,328.685,2019,5,Mayo
37992,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M04,344.439,2019,4,Abril
37993,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M03,358.501,2019,3,Marzo
37994,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M02,315.729,2019,2,Febrero
37995,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2019M01,316.169,2019,1,Enero
37996,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M12,328.441,2018,12,Diciembre
37997,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M11,318.503,2018,11,Noviembre
37998,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M10,359.733,2018,10,Octubre
37999,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M09,328.755,2018,9,Septiembre
38000,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M08,370.492,2018,8,Agosto
38001,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M07,354.551,2018,7,Julio
38002,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M06,315.670,2018,6,Junio
38003,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M05,304.550,2018,5,Mayo
38004,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M04,317.013,2018,4,Abril
38005,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M03,352.923,2018,3,Marzo
38006,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M02,301.040,2018,2,Febrero
38007,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2018M01,292.966,2018,1,Enero
38008,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M12,307.580,2017,12,Diciembre
38009,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M11,306.411,2017,11,Noviembre
38010,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M10,342.900,2017,10,Octubre
38011,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M09,319.228,2017,9,Septiembre
38012,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M08,346.897,2017,8,Agosto
38013,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M07,356.715,2017,7,Julio
38014,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M06,317.256,2017,6,Junio
38015,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M05,296.272,2017,5,Mayo
38016,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M04,342.776,2017,4,Abril
38017,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M03,315.258,2017,3,Marzo
38018,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M02,297.852,2017,2,Febrero
38019,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2017M01,297.599,2017,1,Enero
38020,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2016M12,310.915,2016,12,Diciembre
38021,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2016M11,297.821,2016,11,Noviembre
38022,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2016M10,344.324,2016,10,Octubre
38023,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2016M09,306.186,2016,9,Septiembre
38024,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2016M08,347.091,2016,8,Agosto
38025,Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,Viajero,2016M07,349.643,2016,7,Julio
